date,spy,aapl,goog,msft,mkt-rf,smb,hml,rf
2015M08,-0.062886648,-0.068488932,-0.011834268,-0.063950903,-6.18,1.16,1.23,0
2015M09,-0.025846884,-0.022057599,-0.016027501,0.016860636,-3.91,-0.25,-0.86,0
2015M10,0.081634952,0.080112118,0.155539765,0.173394968,7.32,-2.36,0.23,0
2015M11,0.003648488,-0.005820993,0.043752388,0.038685819,-0.3,1.75,-1.91,0
2015M12,-0.017433712,-0.116790322,0.021686098,0.020578444,-1.73,0.99,-1.58,0.01
2016M01,-0.05106889,-0.078223584,-0.021214946,-0.007054688,-6.32,-2.16,0.83,0.01
2016M02,-0.000826223,-0.001288448,-0.062739181,-0.072344229,-0.5,0.86,-0.19,0.02
2016M03,0.065100208,0.119746304,0.065427597,0.082036538,6.92,1.33,0.48,0.02
2016M04,0.003933533,-0.150731314,-0.072272674,-0.102086421,1.91,1.09,2.98,0.01
2016M05,0.016868888,0.069314203,0.059805127,0.067842059,0.45,0.04,-2.04,0.01
2016M06,0.003469503,-0.04359622,-0.061119152,-0.035138338,-1.67,-0.48,-0.65,0.02
2016M07,0.035822103,0.086235148,0.105087381,0.102267958,4.48,1.25,0.39,0.02
2016M08,0.001196787,0.023376589,-0.00226581,0.019880977,0.29,0.35,2.22,0.02
2016M09,5.79323E-05,0.06344806,0.013261451,0.002433454,0.9,2.28,-1.13,0.02
2016M10,-0.017489095,0.004324995,0.009284126,0.039487585,-1.88,-1.55,4.29,0.02
2016M11,0.036176219,-0.021837368,-0.034361423,0.012391189,1.39,0.17,4.35,0.01
2016M12,0.020068901,0.046840722,0.018015186,0.030721307,2.25,-0.51,2.69,0.03
2017M01,0.017736599,0.046641628,0.031839815,0.039598423,2.72,0.46,-0.57,0.04
2017M02,0.038539214,0.125555256,0.032620155,-0.004373548,2.28,-0.62,-1.74,0.04
2017M03,0.00124921,0.047541302,0.007684133,0.028960938,1.48,0.32,-1.78,0.03
2017M04,0.009877291,-6.9637E-05,0.088099707,0.038718153,1.86,0.37,-1.38,0.05
2017M05,0.014014146,0.065607397,0.062987851,0.025672512,2.2,-0.33,-2.67,0.06
2017M06,0.006354603,-0.058915776,-0.059934981,-0.013114762,0.6,1.68,1.55,0.06
2017M07,0.020345856,0.032180112,0.023674076,0.053249453,2.51,-0.1,1.18,0.07
2017M08,0.002913323,0.101653523,0.009444732,0.033389278,0.13,-0.15,-1.31,0.09
2017M09,0.01994927,-0.06213496,0.020838963,-0.003751932,2.3,1.27,1.61,0.09
2017M10,0.023290689,0.092403775,0.058252562,0.110342235,1.8,-0.87,-0.93,0.09
2017M11,0.030107922,0.020075068,0.004680928,0.016841006,1.93,-0.61,-0.27,0.08
2017M12,0.012055093,-0.015363255,0.024171682,0.016145557,1.38,0.9,0.22,0.09
2018M01,0.054828467,-0.010693573,0.111596798,0.104998121,5.15,-1.01,-1.37,0.11
2018M02,-0.037038089,0.065961009,-0.057351536,-0.008450825,-4,0.83,-1.74,0.11
2018M03,-0.027793191,-0.059803915,-0.068305791,-0.027022689,-1.76,1.19,-0.47,0.12
2018M04,0.005154891,-0.015133633,-0.014113601,0.024353019,0.93,-0.65,1.82,0.14
2018M05,0.024018212,0.126741936,0.06438921,0.059652191,0.49,1.88,-4.45,0.14
